
2024/06/20 (13:27:05) | ===> btop++ v.1.3.2
2024/06/20 (13:27:05) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/20 (13:27:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/20 (13:27:05) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/20 (13:27:05) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/20 (13:27:05) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/20 (13:27:20) | ===> btop++ v.1.3.2
2024/06/20 (13:27:20) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/20 (13:27:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/20 (13:27:20) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/20 (13:27:20) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/20 (13:27:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/20 (13:27:52) | ===> btop++ v.1.3.2
2024/06/20 (13:27:52) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/20 (13:27:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/20 (13:27:52) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/20 (13:27:52) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/20 (13:27:52) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/20 (14:09:36) | ===> btop++ v.1.3.2
2024/06/20 (14:09:36) | WARNING: Got an invalid bool value for config name: theme_background
2024/06/20 (14:09:36) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/20 (14:09:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/20 (14:09:36) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/20 (14:09:36) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/20 (14:09:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/20 (14:09:40) | ===> btop++ v.1.3.2
2024/06/20 (14:09:40) | WARNING: Got an invalid bool value for config name: theme_background
2024/06/20 (14:09:40) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/20 (14:09:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/20 (14:09:40) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/20 (14:09:40) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/20 (14:09:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/20 (14:10:26) | ===> btop++ v.1.3.2
2024/06/20 (14:10:26) | WARNING: Got an invalid bool value for config name: theme_background
2024/06/20 (14:10:26) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/20 (14:10:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/20 (14:10:26) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/20 (14:10:26) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/20 (14:10:26) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/20 (14:11:23) | ===> btop++ v.1.3.2
2024/06/20 (14:11:23) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/20 (14:11:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/20 (14:11:23) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/20 (14:11:23) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/20 (14:11:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/20 (14:12:35) | ===> btop++ v.1.3.2
2024/06/20 (14:12:35) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/20 (14:12:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/20 (14:12:35) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/20 (14:12:35) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/20 (14:12:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/20 (14:13:00) | ===> btop++ v.1.3.2
2024/06/20 (14:13:00) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/20 (14:13:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/20 (14:13:00) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/20 (14:13:00) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/20 (14:13:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/20 (14:13:09) | ===> btop++ v.1.3.2
2024/06/20 (14:13:09) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/20 (14:13:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/20 (14:13:09) | WARNING: ROCm SMI: Failed to get VRAM utilization
